Assignee;Cycle Time (days);Type Name;First Date Moved To Validering pågår;Faktaområde;Long
Maria;0;;;;0
Maria;0;Bug;;;0
None;0;Bug;;Vårddata;0
Maria;0;;;Ekonomi;0
Ulrika;0;Bug;;;0
Maria;0;;;;0
Maria;0;Bug;;Ekonomi;0
Maria;0;;;Viv;0
Maria;0;;;;0
Maria;0;;;Vårddata;0
None;0;;;Vårddata;0
Anders Casselmar;0;;;;0
Björn;0;Bug;;;0
Maria;0;Bug;;Vårddata;0
johlev;11;;oktober;Ekonomi;1
johlev;0;;;;0
None;0;;;Pluss;0
None;0;Bug;;Övriga;0
johlev;2;;oktober;Personal;0
Maria;0;;;Vårddata;0
Maria;0;;;;0
Maria;0;Bug;september;Viv;0
Maria;0;Bug;;;0
Björn;0;Bug;;;0
johlev;0;Bug;;;0
Kristin;0;Bug;;;0
None;0;Bug;;;0
Kristin;0;Bug;;;0
Björn;0;Bug;;;0
Maria;0;;;;0
johlev;0;Feature request;;;0
None;0;Bug;;;0
Maria;0;;;;0
Björn;0;Bug;;;0
Björn;0;Bug;;;0
Björn;0;Bug;;;0
None;0;Bug;;;0
Björn;0;Bug;;Övriga;0
None;0;;;Läkemedel;0
johlev;0;Feature request;;Vårddata;0
Anders Casselmar;0;Bug;;Ris;0
Björn;0;Bug;;Personal;0
Maria;0;;;Omorg;0
Kristin;0;Bug;september;Ambulans;0
johlev;1;;september;Läkemedel;0
None;0;;;Omorg;0
None;0;;;Omorg;0
None;0;Bug;;;0
johlev;0;;;Övriga;0
Maria;0;;september;Vårddata;0
Björn;0;;;Ekonomi;0
Björn;12;;september;Pluss;1
johlev;0;;;;0
None;0;Bug;;;0
None;0;;;;0
None;0;;;Vårddata;0
None;0;Bug;;;0
None;0;Bug;;;0
Maria;0;;;;0
Maria;0;Bug;september;;0
Kristin;0;;;Underhållbarhet;0
Roger;1;Bug;september;;0
Björn;0;Bug;;Personal;0
Cecilia;0;Bug;;Viv;0
Kristin;0;Bug;;;0
Maria;0;Bug;;;0
Maria;0;Bug;;;0
Björn;0;Bug;;Vårddata;0
Maria;0;;september;Vårddata;0
None;0;;;Ekonomi;0
Björn;0;Bug;;;0
Maria;0;;;Omorg;0
Björn;0;Bug;;;0
johlev;3;;oktober;;0
Kristin;0;Bug;;;0
