År;Månad;Företag;M;L (FP);C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer (Bas);FI;PP;Intervjuer (Totalt);
2018;Maj;Ipsos;22;5;9;4;24;9;4;20;3;40;37;3;;22 maj;10 - 21 maj;804;2;;1818;
2018;Maj;Novus;20,6;4,4;9,4;3,5;26,9;8,4;4,3;19,2;3,3;37,9;39,6;-1,7;6,4;20 maj;16 apr - 13 maj;5 306;;;;
2018;Maj;Sifo;23,6;4,8;8,1;3,5;25,2;9,3;4;18,7;2,9;40;38,5;1,5;13,9;18 maj;7 - 17 maj;2 176;1,6;;8259;
2018;Maj;Yougov;18,3;4,2;10,1;3;23;9;3,6;23;5,7;35,6;35,6;0;;16 maj;11 - 14 maj;1 523;1,8;;;
2018;Maj;Aftonbladet;22,4;4,2;9;4,8;26,6;7,4;3,8;16,9;4,9;40,4;37,8;2,6;7,2;10 maj;1 - 7 maj;2 253;2,5;;;
2018;Maj;Sentio;20,4;3,7;7,6;2,1;25,3;9,2;4,4;23,1;4,2;33,8;38,9;-5,1;25,8;9 maj;4 - 7 maj;1 010;2,2;0,5;;
2018;Maj;Demoskop;22,3;4,9;9,1;2,9;26,3;7,7;4,4;19,4;3;39,2;38,4;0,8;12,5;5 maj;24 apr - 2 maj;1 000;1,5;;1624;
2018;April;Ipsos;21;5;12;3;26;8;4;17;4;41;38;3;;26 april;12 - 23 april;804;;;1813;
2018;April;Novus;22,1;5;9,2;3,5;26,9;8,1;4;18,2;3;39,8;39;0,8;8,2;23 april;19 mars - 15 april;4 927;;;;
2018;April;Yougov;19,9;4;8,9;3,2;23,3;8,5;3,9;22,1;6,3;36;35,7;0,3;18,0;19 april;13 - 16 april;1 545;2,6;;;
2018;April;Sentio;20,1;4,4;6,4;2,4;25,9;8,3;4,4;21,4;6,7;33,3;38,6;-5,3;29,9;16 april;5 - 10 april;1 111;3,1;1;;
2018;April;Skop;25,1;5,1;9;4,3;26,7;7;3,5;16,7;2,6;43,5;37,2;6,3;5;16 april;16 mars - 13 april;1 362;2,3;;;
2018;April;Sifo;23;4,4;9,7;3,4;28,4;8,1;4,1;14,8;4,3;40,5;40,6;-0,1;11,8;13 april;2 - 12 april;2 192;2,6;;9049;
2018;April;Aftonbladet;23,3;3,9;9;5,1;27,3;6,5;4;15,9;4,9;41,3;37,8;3,5;6,6;11 april;3 - 9 april;2109;2,3;;;
2018;April;Demoskop;22,2;4;9,5;3,3;25,9;8,7;5,2;18,8;2,4;39;39,8;-0,8;12,1;5 april;27 mars - 4 april;1 000;1,3;;1600;
2018;Mars;Novus;22,6;5;9,3;3,2;27,8;7,8;3,8;17,8;2,7;40,1;39,4;0,7;7,1;25 mars;19 feb - 18 mars;5 426;;;;
2018;Mars;Ipsos;21;5;10;3;28;9;4;17;4;39;41;-2;16;21 mars;8 - 19 mars;810;2;;1 839;
2018;Mars;Yougov;18,8;4,7;7,6;3,6;24;8,3;4;22,4;4,1;34,7;36,3;-1,6;17;21 mars;16 - 19 mars;1 516;;;;
2018;Mars;Sifo;23,1;4,4;10;3;29;7,7;3,8;15,9;3,1;40,5;40,5;0;11,9;16 mars;5 - 15 mars;2 197;1,8;;9724;
2018;Mars;Sentio;19,5;3,9;6,5;4,8;24,6;8,1;4,7;23;4,9;34,7;37,4;-2,7;25,8;15 mars;8 - 14 mars;1 004;2;1,1;;
2018;Mars;Aftonbladet;24,5;3,6;8,8;5,9;26,4;6,9;3,3;15,7;4,9;42,8;36,6;6,2;6,8;9 mars;1 - 5 mars;2 324;2,6;;;
2018;Mars;Demoskop;21,8;5,1;7,9;3,3;27,2;8,5;4,6;18,6;3;38,1;40,3;-2,2;12,6;8 mars;27 feb - 7 mars;1 000;1,8;;1620;
2018;Februari;Ipsos;21;5;11;3;29;9;3;16;3;40;41;-1;16;25 feb;8 - 19 feb;612;2;;1642;
